code,name,year,roe,net_profit_margin,revenue_yoy,profit_yoy,debt_ratio,current_ratio,asset_turnover
000001,平安银行,2020,0.085445,,,,,,
000001,平安银行,2021,0.095674,,,,,,
000001,平安银行,2022,0.109660,,,,,,
000001,平安银行,2023,0.102436,,,,,,
000001,平安银行,2024,0.092038,,,,,,
000001,平安银行,2025,0.081514,,,,,,
000002,万科A,2020,0.201254,,,,,1.174494,167.005657
000002,万科A,2021,0.097832,,,,,1.220232,116.499817
000002,万科A,2022,0.094508,,,,,1.313188,82.041506
000002,万科A,2023,0.049294,,,,,1.399709,62.884624
000002,万科A,2024,-0.218231,,,,,1.275985,44.479215
000002,万科A,2025,,,,,,,
600519,贵州茅台,2020,0.314108,,,,,4.064752,63.367121
600519,贵州茅台,2021,0.299036,,,,,3.811943,
600519,贵州茅台,2022,0.324077,,,,,4.414725,981.877476
600519,贵州茅台,2023,0.361755,,,,,4.623892,1471.805290
600519,贵州茅台,2024,0.384283,,,,,4.454079,164.508886
600519,贵州茅台,2025,,,,,,,
300750,宁德时代,2020,0.109111,,,,,2.052942,2.569998
300750,宁德时代,2021,0.214245,,,,,1.190098,5.620231
300750,宁德时代,2022,0.246826,,,,,1.310972,7.579151
300750,宁德时代,2023,0.243636,,,,,1.567200,6.300515
300750,宁德时代,2024,0.228252,,,,,1.608411,5.567789
300750,宁德时代,2025,0.247249,,,,,1.597698,5.965565
601318,中国平安,2020,0.199341,,,,,,
601318,中国平安,2021,0.129042,,,,,,
601318,中国平安,2022,0.100263,,,,,,
601318,中国平安,2023,0.097475,,,,,,
601318,中国平安,2024,0.138549,,,,,,
601318,中国平安,2025,0.139737,,,,,,
002594,比亚迪,2020,0.074523,,,,,1.048618,3.678151
002594,比亚迪,2021,0.040083,,,,,0.969681,5.580193
002594,比亚迪,2022,0.161305,,,,,0.722386,11.296268
002594,比亚迪,2023,0.240481,,,,,0.665955,11.963221
002594,比亚迪,2024,0.248437,,,,,0.747144,12.517254
002594,比亚迪,2025,0.151180,,,,,0.792969,16.192049
600036,招商银行,2020,0.145825,,,,,,
600036,招商银行,2021,0.151561,,,,,,
600036,招商银行,2022,0.152986,,,,,,
600036,招商银行,2023,0.145016,,,,,,
600036,招商银行,2024,0.128902,,,,,,
600036,招商银行,2025,0.120198,,,,,,
601012,隆基绿能,2020,0.272653,,,,,1.278674,5.481942
601012,隆基绿能,2021,0.220121,,,,,1.386971,8.169629
601012,隆基绿能,2022,0.270298,,,,,1.500378,14.744124
601012,隆基绿能,2023,0.162115,,,,,1.395475,12.713234
601012,隆基绿能,2024,-0.131177,,,,,1.493090,6.236903
601012,隆基绿能,2025,,,,,,,
000333,美的集团,2020,0.248401,,,,,1.312271,10.991785
000333,美的集团,2021,0.235771,,,,,1.116728,11.826974
000333,美的集团,2022,0.220711,,,,,1.265373,11.019915
000333,美的集团,2023,0.220526,,,,,1.119705,10.420804
000333,美的集团,2024,0.203026,,,,,1.105861,10.062487
000333,美的集团,2025,0.199765,,,,,1.213402,10.348689
600276,恒瑞医药,2020,0.228959,,,,,7.437185,5.278509
600276,恒瑞医药,2021,0.138312,,,,,8.874750,4.802994
600276,恒瑞医药,2022,0.107277,,,,,8.500189,3.514327
600276,恒瑞医药,2023,0.109911,,,,,12.252018,3.830586
600276,恒瑞医药,2024,0.147386,,,,,9.719003,5.287562
600276,恒瑞医药,2025,0.144413,,,,,8.084229,6.115846
